Name,StreetName,Highway,Width,Points
Road_0156,,path,2,-82846.8:50135.2|-85791.2:51979.8
Road_0157,,path,2,-88585.6:38112.6|-87526.3:37331.2|-86788.8:36759|-80693.8:32193.7
Road_0158,,path,2,-93239.2:40920.1|-88659.9:37587.2|-87526.3:37331.2
Road_0159,,path,2,-92655.2:41788.4|-87951.1:38377.6|-87526.3:37331.2
Road_0160,,path,2,-84441.7:40036.2|-84867.2:39441.8|-85611.7:38402.1|-85986.1:37880|-86788.8:36759
Road_0161,,path,2,-87732.4:43107.6|-82846.8:50135.2|-77914.9:57310.9|-77115.7:58475.3|-72356.9:65063.2
Road_0162,,steps,2,-87088.1:40467|-86917.1:40712
Road_0163,,path,2,-88199.3:42415.1|-87185.6:41690.5|-87833.4:40782.1|-88330.4:40089.7|-90663.5:41757.2|-90147.5:42478.6|-89518.7:43359.1|-88199.3:42415.1
Road_0164,,path,2,-87626.5:39100|-85986.1:37880|-84324.6:36655.4|-84075.7:37003.9|-83052.9:38327.5|-82761.2:38795|-84441.7:40036.2|-86070.2:41271.9|-86493.6:40710.8|-87332.8:39547.5|-87626.5:39100
Road_0165,,path,2,-86788.8:36759|-87170.2:36226.9
Road_0166,,path,2,-86800.7:39284.8|-86065.3:40290|-84867.2:39441.8|-83681:38575.7|-84428.3:37549.3|-85611.7:38402.1|-86800.7:39284.8
Road_0167,,path,2,-87313.2:40144.2|-87201.7:40304.5
Road_0168,,path,2,-86917.1:40712|-86493.6:40710.8
Road_0169,,steps,2,-83162.9:37688.5|-83021.3:37883.3
Road_0170,,path,2,-84075.7:37003.9|-83565.3:37135.2
Road_0171,,steps,2,-83175.6:37440.3|-83074.6:37365.7
Road_0172,,path,2,-80623.7:37762|-81294.6:36852.5
